district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
RAJASTHAN - Dhaulpur,0.57,846,0.14,0.68
RAJASTHAN - Karauli,0.55,861,0.13,0.65
RAJASTHAN - Sawai Madhopur,0.56,897,0.13,0.63
RAJASTHAN - Dausa,0.57,905,0.14,0.64
RAJASTHAN - Jaipur,0.65,910,0.13,0.62
RAJASTHAN - Sikar,0.62,947,0.16,0.62
RAJASTHAN - Nagaur,0.53,950,0.15,0.63
RAJASTHAN - Jodhpur,0.55,916,0.14,0.64
RAJASTHAN - Jaisalmer,0.46,852,0.11,0.67
RAJASTHAN - Barmer,0.46,902,0.14,0.66
RAJASTHAN - Jalor,0.45,952,0.15,0.64
RAJASTHAN - Sirohi,0.46,940,0.14,0.63
RAJASTHAN - Pali,0.53,987,0.18,0.59
RAJASTHAN - Ajmer,0.59,951,0.15,0.6
RAJASTHAN - Tonk,0.53,952,0.13,0.62
RAJASTHAN - Bundi,0.53,925,0.14,0.62
RAJASTHAN - Bhilwara,0.52,973,0.14,0.6
RAJASTHAN - Rajsamand,0.54,990,0.16,0.59
RAJASTHAN - Dungarpur,0.49,994,0.13,0.63
RAJASTHAN - Banswara,0.46,980,0.11,0.64
RAJASTHAN - Chittaurgarh,0.53,972,0.15,0.57
RAJASTHAN - Kota,0.67,911,0.15,0.6
RAJASTHAN - Baran,0.57,929,0.16,0.62
RAJASTHAN - Jhalawar,0.52,946,0.14,0.6
RAJASTHAN - Udaipur,0.52,958,0.13,0.61
RAJASTHAN - Pratapgarh,0.46,983,0.13,0.63
UTTAR PRADESH - Saharanpur,0.6,890,0.17,0.64
UTTAR PRADESH - Muzaffarnagar,0.58,889,0.19,0.64
UTTAR PRADESH - Bijnor,0.58,917,0.22,0.65
UTTAR PRADESH - Moradabad,0.47,906,0.15,0.66
UTTAR PRADESH - Rampur,0.45,909,0.16,0.67
UTTAR PRADESH - Jyotiba Phule Nagar,0.53,910,0.19,0.67
UTTAR PRADESH - Meerut,0.62,886,0.14,0.63
UTTAR PRADESH - Baghpat,0.61,861,0.21,0.63
UTTAR PRADESH - Ghaziabad,0.67,881,0.18,0.62
UTTAR PRADESH - Gautam Buddha Nagar,0.68,851,0.2,0.62
UTTAR PRADESH - Bulandshahr,0.58,896,0.15,0.64
UTTAR PRADESH - Aligarh,0.57,882,0.13,0.65
UTTAR PRADESH - Mahamaya Nagar,0.6,871,0.19,0.65
UTTAR PRADESH - Mathura,0.59,863,0.17,0.63
UTTAR PRADESH - Agra,0.61,868,0.2,0.65
UTTAR PRADESH - Firozabad,0.61,875,0.17,0.65
UTTAR PRADESH - Mainpuri,0.64,881,0.19,0.64
UTTAR PRADESH - Budaun,0.42,871,0.16,0.66
UTTAR PRADESH - Bareilly,0.49,887,0.14,0.65
UTTAR PRADESH - Pilibhit,0.52,895,0.14,0.65
UTTAR PRADESH - Shahjahanpur,0.5,872,0.16,0.65
UTTAR PRADESH - Kheri,0.51,894,0.15,0.64
UTTAR PRADESH - Sitapur,0.51,888,0.15,0.64
UTTAR PRADESH - Hardoi,0.54,868,0.22,0.63
UTTAR PRADESH - Unnao,0.57,907,0.17,0.61
UTTAR PRADESH - Lucknow,0.68,917,0.12,0.58
UTTAR PRADESH - Rae Bareli,0.58,943,0.16,0.62
UTTAR PRADESH - Farrukhabad,0.58,874,0.18,0.65
UTTAR PRADESH - Kannauj,0.61,879,0.17,0.65
UTTAR PRADESH - Etawah,0.67,870,0.19,0.62
UTTAR PRADESH - Auraiya,0.67,864,0.21,0.62
UTTAR PRADESH - Kanpur Dehat,0.65,865,0.19,0.61
UTTAR PRADESH - Kanpur Nagar,0.71,862,0.17,0.57
UTTAR PRADESH - Jalaun,0.64,865,0.19,0.59
UTTAR PRADESH - Jhansi,0.65,890,0.19,0.59
UTTAR PRADESH - Lalitpur,0.52,906,0.17,0.65
UTTAR PRADESH - Hamirpur,0.59,861,0.22,0.6
UTTAR PRADESH - Mahoba,0.56,878,0.16,0.6
UTTAR PRADESH - Banda,0.56,863,0.23,0.62
UTTAR PRADESH - Chitrakoot,0.54,879,0.18,0.64
UTTAR PRADESH - Fatehpur,0.57,901,0.18,0.62
UTTAR PRADESH - Pratapgarh,0.6,998,0.17,0.62
UTTAR PRADESH - Kaushambi,0.51,908,0.16,0.65
UTTAR PRADESH - Allahabad,0.62,901,0.16,0.63
UTTAR PRADESH - Bara Banki,0.52,910,0.13,0.63
UTTAR PRADESH - Faizabad,0.59,962,0.15,0.62
UTTAR PRADESH - Ambedkar Nagar,0.62,978,0.16,0.63
UTTAR PRADESH - Sultanpur,0.59,983,0.17,0.63
UTTAR PRADESH - Bahraich,0.4,892,0.14,0.65
