district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
MADHYA PRADESH - Anuppur,0.58,976,0.15,0.59
MADHYA PRADESH - Sidhi,0.53,957,0.15,0.64
MADHYA PRADESH - Singrauli,0.5,920,0.13,0.65
MADHYA PRADESH - Jhabua,0.34,990,0.08,0.67
MADHYA PRADESH - Alirajpur,0.29,1011,0.06,0.67
MADHYA PRADESH - Khandwa (East Nimar),0.56,943,0.15,0.62
MADHYA PRADESH - Burhanpur,0.54,951,0.16,0.62
GUJARAT - Kachchh,0.6,908,0.22,0.61
GUJARAT - Banas Kantha,0.55,938,0.28,0.64
GUJARAT - Patan,0.62,935,0.27,0.59
GUJARAT - Mahesana,0.74,926,0.23,0.55
GUJARAT - Sabar Kantha,0.65,952,0.25,0.57
GUJARAT - Gandhinagar,0.74,923,0.26,0.55
GUJARAT - Ahmadabad,0.75,904,0.22,0.55
GUJARAT - Surendranagar,0.62,930,0.27,0.59
GUJARAT - Rajkot,0.72,927,0.24,0.55
GUJARAT - Jamnagar,0.65,939,0.23,0.57
GUJARAT - Porbandar,0.67,950,0.26,0.54
GUJARAT - Junagadh,0.67,953,0.26,0.56
GUJARAT - Amreli,0.66,964,0.27,0.55
GUJARAT - Bhavnagar,0.66,933,0.32,0.59
GUJARAT - Anand,0.74,925,0.27,0.54
GUJARAT - Kheda,0.72,940,0.28,0.55
GUJARAT - Panch Mahals,0.6,949,0.25,0.59
GUJARAT - Dohad,0.47,990,0.18,0.66
GUJARAT - Vadodara,0.69,934,0.21,0.53
GUJARAT - Narmada,0.63,961,0.25,0.57
GUJARAT - Bharuch,0.72,925,0.24,0.54
GUJARAT - The Dangs,0.62,1006,0.26,0.64
GUJARAT - Navsari,0.75,961,0.2,0.51
GUJARAT - Valsad,0.69,922,0.18,0.55
GUJARAT - Surat,0.75,787,0.22,0.59
GUJARAT - Tapi,0.61,1007,0.22,0.52
DAMAN AND DIU - Diu,0.73,1031,0.15,0.59
DAMAN AND DIU - Daman,0.79,534,0.15,0.64
DADRA AND NAGAR HAVELI - Dadra AND Nagar Haveli,0.65,774,0.2,0.65
MAHARASHTRA - Nandurbar,0.55,978,0.13,0.61
MAHARASHTRA - Dhule,0.63,946,0.16,0.57
MAHARASHTRA - Jalgaon,0.68,925,0.17,0.56
MAHARASHTRA - Buldana,0.73,934,0.18,0.57
MAHARASHTRA - Akola,0.78,946,0.18,0.55
MAHARASHTRA - Washim,0.73,930,0.2,0.57
MAHARASHTRA - Amravati,0.78,951,0.16,0.53
MAHARASHTRA - Wardha,0.78,946,0.14,0.51
MAHARASHTRA - Nagpur,0.79,951,0.14,0.53
MAHARASHTRA - Bhandara,0.75,982,0.16,0.52
MAHARASHTRA - Gondiya,0.76,999,0.18,0.53
MAHARASHTRA - Gadchiroli,0.66,982,0.14,0.56
MAHARASHTRA - Chandrapur,0.72,961,0.14,0.53
MAHARASHTRA - Yavatmal,0.73,952,0.2,0.56
MAHARASHTRA - Nanded,0.65,943,0.21,0.6
MAHARASHTRA - Hingoli,0.67,942,0.23,0.59
MAHARASHTRA - Parbhani,0.63,947,0.22,0.59
MAHARASHTRA - Jalna,0.61,937,0.22,0.59
MAHARASHTRA - Aurangabad,0.68,923,0.19,0.6
MAHARASHTRA - Nashik,0.71,934,0.17,0.59
MAHARASHTRA - Thane,0.74,886,0.14,0.56
MAHARASHTRA - Mumbai Suburban,0.81,860,0.12,0.53
MAHARASHTRA - Mumbai,0.81,832,0.13,0.5
MAHARASHTRA - Raigarh,0.74,959,0.15,0.54
MAHARASHTRA - Pune,0.76,915,0.13,0.55
MAHARASHTRA - Ahmadnagar,0.69,939,0.18,0.55
MAHARASHTRA - Bid,0.66,916,0.17,0.57
MAHARASHTRA - Latur,0.67,928,0.17,0.57
MAHARASHTRA - Osmanabad,0.69,924,0.18,0.55
MAHARASHTRA - Solapur,0.67,938,0.18,0.56
MAHARASHTRA - Satara,0.74,988,0.17,0.51
MAHARASHTRA - Ratnagiri,0.74,1122,0.23,0.48
MAHARASHTRA - Sindhudurg,0.78,1036,0.19,0.45
MAHARASHTRA - Kolhapur,0.73,957,0.16,0.51
MAHARASHTRA - Sangli,0.73,966,0.18,0.51
ANDHRA PRADESH - Adilabad,0.54,1001,0.13,0.56
ANDHRA PRADESH - Nizamabad,0.54,1040,0.17,0.55
ANDHRA PRADESH - Karimnagar,0.58,1008,0.12,0.51
ANDHRA PRADESH - Medak,0.54,992,0.17,0.57
ANDHRA PRADESH - Hyderabad,0.73,954,0.15,0.57
ANDHRA PRADESH - Rangareddy,0.67,961,0.14,0.56
ANDHRA PRADESH - Mahbubnagar,0.48,977,0.15,0.58
ANDHRA PRADESH - Nalgonda,0.57,983,0.15,0.55
ANDHRA PRADESH - Warangal,0.59,997,0.13,0.54
ANDHRA PRADESH - Khammam,0.58,1011,0.12,0.55
ANDHRA PRADESH - Srikakulam,0.55,1015,0.13,0.53
ANDHRA PRADESH - Vizianagaram,0.53,1019,0.13,0.51
ANDHRA PRADESH - Visakhapatnam,0.6,1006,0.13,0.53
ANDHRA PRADESH - East Godavari,0.64,1006,0.18,0.53
ANDHRA PRADESH - West Godavari,0.67,1004,0.18,0.52
ANDHRA PRADESH - Krishna,0.67,992,0.15,0.52
ANDHRA PRADESH - Guntur,0.61,1003,0.17,0.53
ANDHRA PRADESH - Prakasam,0.56,981,0.15,0.54
ANDHRA PRADESH - Sri Potti Sriramulu Nellore,0.62,985,0.15,0.53
ANDHRA PRADESH - Y.S.R.,0.6,985,0.18,0.54
ANDHRA PRADESH - Kurnool,0.52,988,0.17,0.58
ANDHRA PRADESH - Anantapur,0.57,977,0.18,0.54
ANDHRA PRADESH - Chittoor,0.64,997,0.18,0.51
KARNATAKA - Belgaum,0.64,973,0.22,0.56
KARNATAKA - Bagalkot,0.59,989,0.2,0.59
KARNATAKA - Bijapur,0.57,960,0.2,0.59
KARNATAKA - Bidar,0.61,956,0.28,0.6
KARNATAKA - Raichur,0.51,1000,0.2,0.62
KARNATAKA - Koppal,0.58,986,0.26,0.62
KARNATAKA - Gadag,0.66,982,0.23,0.57
KARNATAKA - Dharwad,0.7,971,0.21,0.55
KARNATAKA - Uttara Kannada,0.75,979,0.24,0.52
KARNATAKA - Haveri,0.68,950,0.27,0.57
KARNATAKA - Bellary,0.58,983,0.22,0.61
KARNATAKA - Chitradurga,0.66,974,0.2,0.54
KARNATAKA - Davanagere,0.67,972,0.23,0.55
KARNATAKA - Shimoga,0.72,998,0.22,0.52
KARNATAKA - Udupi,0.79,1094,0.24,0.48
KARNATAKA - Chikmagalur,0.72,1008,0.23,0.5
KARNATAKA - Tumkur,0.68,984,0.19,0.5
KARNATAKA - Bangalore,0.78,916,0.16,0.55
KARNATAKA - Mandya,0.64,995,0.17,0.5
KARNATAKA - Hassan,0.69,1010,0.2,0.49
KARNATAKA - Dakshina Kannada,0.8,1020,0.25,0.51
KARNATAKA - Kodagu,0.74,1019,0.2,0.5
KARNATAKA - Mysore,0.65,985,0.18,0.53
KARNATAKA - Chamarajanagar,0.55,993,0.2,0.51
KARNATAKA - Gulbarga,0.56,971,0.23,0.61
KARNATAKA - Yadgir,0.43,989,0.17,0.63
KARNATAKA - Kolar,0.66,979,0.19,0.55
KARNATAKA - Chikkaballapura,0.62,972,0.18,0.53
KARNATAKA - Bangalore Rural,0.7,946,0.17,0.54
KARNATAKA - Ramanagara,0.62,976,0.17,0.52
GOA - North Goa,0.81,963,0.12,0.47
GOA - South Goa,0.78,986,0.11,0.49
LAKSHADWEEP - Lakshadweep,0.82,946,0.21,0.53
KERALA - Kasaragod,0.79,1080,0.21,0.53
KERALA - Kannur,0.85,1136,0.19,0.47
KERALA - Wayanad,0.79,1035,0.18,0.51
KERALA - Kozhikode,0.85,1098,0.18,0.48
KERALA - Malappuram,0.81,1098,0.19,0.58
KERALA - Palakkad,0.8,1067,0.18,0.5
KERALA - Thrissur,0.86,1108,0.14,0.45
KERALA - Ernakulam,0.87,1027,0.14,0.43
KERALA - Idukki,0.83,1006,0.15,0.45
KERALA - Kottayam,0.89,1039,0.14,0.41
KERALA - Alappuzha,0.87,1100,0.16,0.42
KERALA - Pathanamthitta,0.89,1132,0.12,0.4
KERALA - Kollam,0.85,1113,0.15,0.45
KERALA - Thiruvananthapuram,0.84,1087,0.14,0.45
TAMIL NADU - Thiruvallur,0.75,987,0.12,0.52
TAMIL NADU - Chennai,0.81,989,0.11,0.49
TAMIL NADU - Kancheepuram,0.75,986,0.13,0.52
TAMIL NADU - Vellore,0.7,1007,0.18,0.53
TAMIL NADU - Tiruvannamalai,0.66,994,0.18,0.53
TAMIL NADU - Viluppuram,0.63,987,0.19,0.54
TAMIL NADU - Salem,0.66,954,0.16,0.5
TAMIL NADU - Namakkal,0.68,986,0.17,0.47
TAMIL NADU - Erode,0.66,993,0.15,0.45
TAMIL NADU - The Nilgiris,0.77,1042,0.17,0.48
TAMIL NADU - Dindigul,0.69,998,0.18,0.49
TAMIL NADU - Karur,0.68,1015,0.18,0.47
TAMIL NADU - Tiruchirappalli,0.75,1013,0.16,0.49
TAMIL NADU - Perambalur,0.66,1003,0.19,0.52
TAMIL NADU - Ariyalur,0.64,1015,0.18,0.5
TAMIL NADU - Cuddalore,0.7,987,0.16,0.52
TAMIL NADU - Nagapattinam,0.75,1025,0.2,0.51
TAMIL NADU - Thiruvarur,0.75,1017,0.2,0.5
TAMIL NADU - Thanjavur,0.74,1035,0.18,0.5
TAMIL NADU - Pudukkottai,0.69,1015,0.18,0.52
TAMIL NADU - Sivaganga,0.72,1003,0.16,0.5
TAMIL NADU - Madurai,0.75,990,0.17,0.5
TAMIL NADU - Theni,0.7,991,0.18,0.5
TAMIL NADU - Virudhunagar,0.72,1007,0.21,0.51
TAMIL NADU - Ramanathapuram,0.72,983,0.22,0.52
TAMIL NADU - Thoothukkudi,0.77,1023,0.21,0.51
TAMIL NADU - Tirunelveli,0.74,1023,0.2,0.51
TAMIL NADU - Kanniyakumari,0.83,1019,0.18,0.47
TAMIL NADU - Dharmapuri,0.61,946,0.16,0.53
TAMIL NADU - Krishnagiri,0.63,958,0.15,0.55
TAMIL NADU - Coimbatore,0.76,1000,0.13,0.46
TAMIL NADU - Tiruppur,0.71,989,0.18,0.48
PONDICHERRY - Yanam,0.71,1038,0.2,0.57
PONDICHERRY - PONDICHERRY,0.76,1029,0.13,0.5
PONDICHERRY - Mahe,0.87,1184,0.14,0.47
PONDICHERRY - Karaikal,0.77,1047,0.16,0.51
ANDAMAN AND NICOBAR ISLANDS - Nicobars,0.69,777,0.16,0.51
ANDAMAN AND NICOBAR ISLANDS - North  AND Middle Andaman,0.75,925,0.2,0.54
ANDAMAN AND NICOBAR ISLANDS - South Andaman,0.8,871,0.14,0.54
